라인,상태,제품_이름,생산_량,불량_량,생산_시작_시간,생산_종료_시간
라인-1,점검 중,삼성 냉장고,461,82,2023-06-28 18:45:20,2023-06-29 00:58:20
라인-2,점검 중,삼성 갤럭시 버즈,586,16,2023-03-02 19:10:22,2023-03-03 04:43:22
라인-3,고장,삼성 웨어러블 디바이스,539,7,2023-03-05 08:57:47,2023-03-05 16:32:47
라인-4,가동 중,갤럭시 Z Fold 3,166,49,2023-10-28 23:31:30,2023-10-29 01:33:30
라인-5,점검 중,갤럭시 노트 20,538,84,2023-10-25 10:22:17,2023-10-25 15:46:17
라인-6,점검 중,삼성 냉장고,955,8,2023-07-24 02:05:09,2023-07-24 02:39:09
라인-7,가동 중,삼성 냉장고,475,97,2023-04-09 05:05:22,2023-04-09 09:50:22
라인-8,대기 중,삼성 세탁기,237,12,2023-10-22 19:15:48,2023-10-22 23:09:48
라인-9,점검 중,갤럭시 S21,63,50,2023-05-21 21:15:47,2023-05-22 00:11:47
라인-10,대기 중,갤럭시 S21,935,33,2023-08-02 19:58:17,2023-08-02 21:28:17
라인-11,대기 중,갤럭시 Z Fold 3,568,81,2023-05-14 16:55:04,2023-05-14 20:49:04
라인-12,대기 중,갤럭시 Z Fold 3,137,30,2023-05-14 08:31:35,2023-05-14 14:41:35
라인-13,대기 중,삼성 갤럭시 버즈,846,56,2023-07-31 09:16:52,2023-07-31 11:46:52
라인-14,가동 중,삼성 스마트폰 충전기,75,72,2023-03-07 22:28:09,2023-03-08 03:52:09
라인-15,고장,갤럭시 S21,636,32,2023-04-05 12:58:45,2023-04-05 18:01:45
라인-16,고장,갤럭시 Z Fold 3,913,37,2023-03-07 21:59:16,2023-03-07 23:00:16
라인-17,비가동 중,삼성 스마트폰 충전기,462,27,2023-07-05 02:37:14,2023-07-05 07:41:14
라인-18,가동 중,갤럭시 노트 20,313,89,2023-06-25 20:50:38,2023-06-26 06:32:38
라인-19,비가동 중,삼성 스마트폰 충전기,356,68,2023-07-04 16:41:36,2023-07-04 20:52:36
라인-20,가동 중,삼성 냉장고,745,75,2023-02-05 08:35:37,2023-02-05 14:48:37
라인-21,가동 중,삼성 SSD 드라이브,116,2,2023-10-11 00:56:11,2023-10-11 08:24:11
라인-22,고장,갤럭시 A72,917,11,2023-10-07 21:37:36,2023-10-08 06:09:36
